category,year,month,mean_value,mean_cpi_yoy,series_count,year_month,mean_value_lag1,mean_value_lag12,mean_cpi_yoy_lag1,mean_cpi_yoy_roll3,mean_cpi_yoy_roll6,avg_mfn_rate,median_mfn_rate,codes_with_tariffs,avg_mfn_rate_missing,avg_mfn_rate_lag1,mean_value_missing,mean_cpi_yoy_missing
Apparel,2022,10,126.18486000000001,,50,2022-10-01,126.90456,,,,,,,,1,,0,1
Apparel,2022,11,125.19912000000001,,50,2022-11-01,126.18486000000001,,,,,,,,1,,0,1
Apparel,2022,12,124.66708,,50,2022-12-01,125.19912000000001,,,,,,,,1,,0,1
Apparel,2023,1,127.53768421052631,1.3969999999999998,76,2023-01-01,124.66708,123.79090789473685,,,,0.0,0.0,1586.0,0,,0,0
Apparel,2023,2,128.5580657894737,2.82,76,2023-02-01,127.53768421052631,124.87705263157893,1.3969999999999998,1.3969999999999998,1.3969999999999998,0.0,0.0,1586.0,0,,0,0
Apparel,2023,3,129.15413157894736,3.9396,76,2023-03-01,128.5580657894737,125.25111842105262,2.82,2.1085,2.1085,0.0,0.0,1586.0,0,,0,0
Apparel,2023,4,129.27606,3.6296000000000004,50,2023-04-01,129.15413157894736,124.5883,3.9396,2.7188666666666665,2.7188666666666665,0.0,0.0,1586.0,0,,0,0
Apparel,2023,5,129.4501,3.6756,50,2023-05-01,129.27606,124.96638000000002,3.6296000000000004,3.4630666666666663,2.9465500000000002,0.0,0.0,1586.0,0,,0,0
Apparel,2023,6,129.13495999999998,3.6562,50,2023-06-01,129.4501,125.2967,3.6756,3.7482666666666673,3.09236,0.0,0.0,1586.0,0,,0,0
Apparel,2023,7,128.6887,2.4046000000000003,50,2023-07-01,129.13495999999998,124.5904,3.6562,3.6538000000000004,3.1863333333333337,0.0,0.0,1586.0,0,,0,0
Apparel,2023,8,129.635,2.1098,50,2023-08-01,128.6887,125.61034,2.4046000000000003,3.2454666666666667,3.354266666666667,0.0,0.0,1586.0,0,,0,0
Apparel,2023,9,129.65248,2.7398000000000002,50,2023-09-01,129.635,126.90456,2.1098,2.7235333333333336,3.2359000000000004,0.0,0.0,1586.0,0,,0,0
Apparel,2023,10,129.6497,3.8562,50,2023-10-01,129.65248,126.18486000000001,2.7398000000000002,2.418066666666667,3.035933333333334,0.0,0.0,1586.0,0,,0,0
Apparel,2023,11,126.90737999999999,2.1216,50,2023-11-01,129.6497,125.19912000000001,3.8562,2.9019333333333335,3.0737,0.0,0.0,1586.0,0,,0,0
Apparel,2023,12,125.93888000000001,-0.105,50,2023-12-01,126.90737999999999,124.66708,2.1216,2.905866666666667,2.8147,0.0,0.0,1586.0,0,,0,0
Apparel,2024,1,127.79365789473684,-1.5188,76,2024-01-01,125.93888000000001,127.53768421052631,-0.105,1.9575999999999996,2.1878333333333333,0.0,0.0,1580.0,0,0.0,0,0
Apparel,2024,2,128.84781578947369,-0.35719999999999996,76,2024-02-01,127.79365789473684,128.5580657894737,-1.5188,0.16593333333333335,1.5339333333333334,0.0,0.0,1580.0,0,0.0,0,0
Apparel,2024,3,129.69356578947367,0.8508,76,2024-03-01,128.84781578947369,129.15413157894736,-0.35719999999999996,-0.6603333333333333,1.1227666666666667,0.0,0.0,1580.0,0,0.0,0,0
