hs_code,cpi_category
21069012,Food
21069015,Food
21069018,Food
21069022,Food
21069024,Food
21069026,Food
21069028,Food
21069032,Food
21069034,Food
21069036,Food
21069038,Food
21069039,Other
21069042,Food
21069044,Food
21069046,Food
21069048,Food
21069052,Food
21069054,Food
21069058,Food
21069062,Food
21069064,Food
21069066,Food
21069068,Food
21069072,Food
21069074,Food
21069076,Food
21069078,Food
21069080,Food
21069082,Food
21069083,Food
21069085,Food
21069087,Food
21069089,Food
21069091,Food
21069092,Food
21069094,Food
21069095,Food
21069097,Food
21069099,Food
2109100,Food
2109201,Food
2109300,Food
2109920,Food
2109991,Food
22011000,Food
22019000,Food
22021000,Food
22029100,Other
22029910,Food
22029922,Food
22029924,Food
22029928,Food
22029930,Food
22029935,Food
22029936,Food
22029937,Food
22029991,Food
22030000,Other
22041000,Other
22042120,Other
22042130,Transportation
22042150,Transportation
22042160,Other
22042180,Other
22042220,Other
22042240,Other
22042260,Other
22042280,Other
22042961,Other
22042981,Other
22043000,Other
22051030,Other
22051060,Other
22059020,Other
22059040,Other
22059060,Other
22060015,Other
22060030,Other
22060045,Food
22060060,Other
22060090,Food
22071030,Food
22071060,Food
22072000,Other
22082010,Other
22082020,Other
22082030,Other
22082040,Other
22082050,Other
22082060,Other
22083030,Other
22083060,Other
22084020,Other
22084040,Other
22084060,Other
22084080,Other
22085000,Other
22086010,Other
22086020,Other
22086050,Other
22087000,Other
22089001,Other
22089005,Food
22089010,Food
22089012,Other
22089014,Other
22089015,Other
22089020,Other
22089025,Other
22089030,Other
22089035,Other
22089040,Other
22089046,Other
22089050,Other
22089055,Other
22089071,Food
22089072,Other
22089075,Food
22089080,Other
22090000,Other
23011000,Food
23012000,Food
23021000,Food
23023000,Food
23024001,Food
23025000,Commodities Services Special
23031000,Other
23032000,Food
23033000,Other
23040000,Transportation
23050000,Transportation
23061000,Food
23062000,Food
23063000,Food
23064100,Food
23064900,Food
23065000,Food
23066000,Food
23069001,Food
23070000,Other
23080010,Food
23080093,Other
23080095,Other
23080098,Food
23091000,Food
23099010,Other
23099022,Food
23099024,Food
23099028,Food
23099042,Food
23099044,Food
23099048,Food
23099060,Food
23099070,Food
23099095,Food
24011021,Other
24011029,Other
24011044,Other
24011048,Other
24011053,Other
24011061,Other
24011063,Other
24011065,Other
24011095,Other
24012005,Other
24012014,Other
24012018,Other
24012023,Other
24012026,Other
24012029,Other
24012031,Other
24012033,Other
24012035,Other
24012057,Other
24012060,Other
24012075,Other
24012083,Other
24012085,Other
24012087,Other
24013003,Other
24013006,Other
24013009,Other
24013013,Other
24013016,Other
24013019,Other
24013023,Other
24013025,Other
24013027,Other
24013033,Other
24013035,Other
24013037,Other
24013070,Other
24021030,Other
24021060,Other
24021080,Other
24022010,Other
24022080,Other
24022090,Other
24029000,Other
24031100,Housing
24031920,Commodities Services Special
24031930,Housing
24031960,Housing
24031990,Housing
24039120,Other
24039143,Other
24039145,Other
24039147,Other
24039921,Commodities Services Special
24039931,Other
24039960,Other
24039990,Other
24041100,Other
24041205,Medical
24041210,Medical
24041290,Medical
24041905,Medical
24041910,Medical
24041990,Medical
24049100,Commodities Services Special
24049200,Commodities Services Special
24049900,Commodities Services Special
25010000,Other
25020000,Commodities Services Special
25030000,Other
25041010,Other
25041050,Other
25049000,Other
25051010,Commodities Services Special
25051050,Other
25059000,Commodities Services Special
25061000,Other
25062000,Other
25070000,Other
25081000,Other
25083000,Other
25084001,Other
25085000,Other
25086000,Other
25087000,Other
25090010,Other
25090020,Other
25101000,Apparel
25102000,Apparel
25111010,Other
25111050,Other
25112000,Transportation
25120000,Other
25131000,Other
25132010,Other
25132090,Other
25140000,Other
25151100,Commodities Services Special
25151210,Other
25151220,Commodities Services Special
25152000,Housing
25161100,Other
25161200,Other
25162010,Housing
25162020,Housing
25169000,Housing
25171000,Housing
25172000,Commodities Services Special
25173000,Other
25174100,Other
25174900,Housing
25181000,Other
25182000,Other
25191000,Transportation
25199010,Other
25199020,Other
25199050,Other
25201000,Other
25202000,Other
25210000,Housing
25221000,Other
25222000,Other
25223000,Other
25231000,Housing
25232100,Housing
25232900,Housing
25233000,Housing
25239000,Housing
25241000,Other
25249000,Other
25251000,Commodities Services Special
25252000,Other
25253000,Other
25261000,Food
25262000,Food
25280000,Other
25291000,Other
25292100,Other
25292200,Other
25293000,Other
25301000,Other
25302010,Other
25302020,Other
25309010,Other
25309020,Commodities Services Special
25309080,Commodities Services Special
26011100,Commodities Services Special
26011200,Commodities Services Special
26012000,Commodities Services Special
26020000,Other
26030000,Commodities Services Special
26040000,Commodities Services Special
26050000,Other
26060000,Commodities Services Special
26070000,Other
26080000,Commodities Services Special
26090000,Commodities Services Special
26100000,Other
26110030,Other
26110060,Other
26121000,Other
26122000,Other
26131000,Other
26139000,Other
26140030,Housing
26140060,Housing
26151000,Other
26159030,Other
26159060,Other
26161000,Other
26169000,Commodities Services Special
26171000,Other
26179000,Commodities Services Special
26180000,Commodities Services Special
26190030,Other
26190090,Commodities Services Special
26201100,Commodities Services Special
26201930,Commodities Services Special
26201960,Commodities Services Special
26202100,Transportation
26202900,Commodities Services Special
26203000,Commodities Services Special
26204000,Commodities Services Special
26206010,Other
